harga_juta,luas_tanah,luas_bangunan,bed,bath,carport
898.0,90.0,65.0,3.0,2.0,1.0
3800.0,290.0,280.0,6.0,5.0,2.0
850.0,96.0,70.0,3.0,1.0,1.0
399.0,115.0,45.0,2.0,1.0,1.0
2970.0,143.0,232.0,5.0,2.0,1.0
1600.0,290.0,200.0,6.0,5.0,1.0
3800.0,290.0,130.0,5.0,3.0,1.0
2900.0,290.0,250.0,5.0,4.0,2.0
2250.0,138.0,151.0,4.0,2.0,2.0
3800.0,290.0,150.0,3.0,3.0,2.0
2540.0,175.0,130.0,4.0,4.0,2.0
950.0,135.0,180.0,3.0,4.0,1.0
2300.0,204.0,178.0,3.0,3.0,2.0
525.0,126.0,45.0,2.0,1.0,1.0
499.0,141.0,56.0,2.0,1.0,1.0
1500.0,218.0,150.0,4.0,2.0,1.0
2110.0,110.0,107.0,3.0,2.0,1.0
3800.0,204.0,142.0,3.0,3.0,2.0
3230.0,153.0,135.0,3.0,3.0,2.0
1250.0,135.0,45.0,2.0,1.0,1.0
575.0,129.0,80.0,3.0,2.0,1.0
900.0,153.0,100.0,3.0,2.0,2.0
1900.0,158.0,120.0,5.0,4.0,2.0
1600.0,290.0,200.0,6.0,5.0,1.0
1380.0,107.0,100.0,3.0,2.0,1.0
1600.0,131.0,200.0,4.0,4.0,1.0
1900.0,166.0,150.0,5.0,5.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
3800.0,290.0,280.0,3.0,1.0,2.0
3000.0,229.0,180.0,3.0,3.0,2.0
1100.0,187.0,150.0,3.0,2.0,1.0
399.0,80.0,45.0,2.0,1.0,1.0
3800.0,290.0,190.0,4.0,4.0,2.0
1700.0,118.0,70.0,3.0,2.0,1.0
550.0,94.0,94.0,6.0,3.0,2.0
1950.0,290.0,280.0,4.0,3.0,1.0
1100.0,110.0,70.0,2.0,1.0,1.0
2600.0,290.0,280.0,4.0,4.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
1200.0,290.0,200.0,5.0,5.0,1.0
1420.0,144.0,250.0,5.0,4.0,1.0
575.0,100.0,80.0,3.0,2.0,1.0
730.0,100.0,80.0,3.0,2.0,1.0
590.0,98.0,45.0,2.0,1.0,1.0
3600.0,285.0,160.0,6.0,2.0,2.0
1350.0,115.0,190.0,4.0,3.0,1.0
3800.0,290.0,150.0,3.0,3.0,2.0
725.0,87.0,70.0,3.0,2.0,1.0
2150.0,111.0,180.0,4.0,3.0,1.0
1800.0,128.0,200.0,4.0,4.0,1.0
895.0,157.0,69.0,3.0,1.0,1.0
1100.0,213.0,80.0,3.0,2.0,1.0
725.0,96.0,54.0,3.0,2.0,1.0
2500.0,215.0,200.0,4.0,3.0,1.0
1600.0,156.0,140.0,3.0,3.0,1.0
1450.0,110.0,129.0,3.0,3.0,1.0
650.0,101.0,80.0,3.0,2.0,1.0
1600.0,122.0,200.0,3.0,3.0,1.0
2110.0,192.0,135.0,4.0,3.0,2.0
745.0,98.0,70.0,2.0,2.0,1.0
399.0,99.0,45.0,2.0,1.0,1.0
2140.0,196.0,135.0,4.0,3.0,2.0
1600.0,169.0,125.0,4.0,3.0,1.0
1900.0,128.0,188.0,3.0,3.0,1.0
1820.0,140.0,158.0,3.0,2.0,1.0
756.0,108.0,60.0,3.0,1.0,1.0
2200.0,290.0,280.0,4.0,2.0,1.0
2110.0,110.0,107.0,3.0,2.0,1.0
3800.0,204.0,142.0,3.0,3.0,2.0
3230.0,153.0,135.0,3.0,3.0,2.0
1800.0,128.0,110.0,3.0,3.0,2.0
1850.0,290.0,280.0,2.0,2.0,1.0
875.0,100.0,200.0,6.0,2.0,1.0
2040.0,182.0,135.0,4.0,3.0,2.0
1500.0,156.0,120.0,4.0,3.0,1.0
1400.0,174.0,150.0,3.0,2.0,1.0
3800.0,250.0,280.0,6.0,5.0,2.0
2080.0,186.0,135.0,4.0,3.0,2.0
3800.0,219.0,241.0,5.0,3.0,1.0
1600.0,127.0,150.0,4.0,2.0,1.0
3000.0,225.0,280.0,6.0,5.0,1.0
2300.0,140.0,200.0,4.0,4.0,1.0
755.0,101.0,60.0,2.0,1.0,1.0
2000.0,290.0,220.0,5.0,2.0,2.0
1800.0,123.0,240.0,6.0,4.0,2.0
3800.0,290.0,280.0,6.0,5.0,2.0
2800.0,137.0,100.0,6.0,5.0,2.0
950.0,90.0,62.0,4.0,4.0,2.0
3100.0,225.0,280.0,6.0,4.0,1.0
1450.0,110.0,140.0,3.0,2.0,1.0
790.0,80.0,60.0,3.0,2.0,2.0
598.0,90.0,45.0,2.0,1.0,1.0
2200.0,290.0,250.0,6.0,4.0,2.0
675.0,85.0,45.0,2.0,1.0,1.0
990.0,109.0,75.0,2.0,2.0,1.0
